threshold,bets,final_bankroll,profit_units,roi_on_bankroll_pct,yield_on_staked_pct,max_drawdown_pct,avg_stake_pct,total_staked
0.5,437,553.18,-446.82,-44.68,-5.94,71.37,2.88,7525.42
0.51,395,520.22,-479.78,-47.98,-6.8,69.63,2.88,7054.48
0.52,348,847.01,-152.99,-15.3,-1.97,55.57,2.89,7771.31
0.53,308,1128.43,128.43,12.84,1.55,47.38,2.9,8282.53
0.54,283,946.49,-53.51,-5.35,-0.73,48.19,2.91,7375.25
0.55,245,1143.15,143.15,14.32,2.01,41.14,2.92,7130.44
0.56,227,1014.82,14.82,1.48,0.24,42.52,2.93,6121.39
0.57,216,1040.05,40.05,4.01,0.71,36.75,2.93,5647.76
0.58,195,910.83,-89.17,-8.92,-1.95,42.93,2.94,4563.12
0.59,182,936.42,-63.58,-6.36,-1.51,41.34,2.95,4202.96
0.6,169,1001.61,1.61,0.16,0.04,30.62,2.95,4178.75
0.61,157,945.61,-54.39,-5.44,-1.46,36.91,2.97,3734.19
0.62,142,996.23,-3.77,-0.38,-0.1,27.04,2.96,3621.55
0.63,133,1003.37,3.37,0.34,0.1,28.25,2.97,3355.37
0.64,120,1072.09,72.09,7.21,2.27,22.37,2.98,3174.98
0.65,109,979.68,-20.32,-2.03,-0.73,25.1,2.99,2781.08
0.66,100,903.53,-96.47,-9.65,-3.83,24.24,2.99,2515.96
0.67,90,946.75,-53.25,-5.32,-2.23,21.16,3.0,2384.99
0.68,78,916.81,-83.19,-8.32,-3.87,19.87,3.0,2150.61
0.69,66,891.61,-108.39,-10.84,-5.9,18.88,3.0,1838.42
0.7,60,883.27,-116.73,-11.67,-6.93,20.81,3.0,1684.67
0.71,56,909.87,-90.13,-9.01,-5.67,16.77,3.0,1590.03
0.72,50,950.62,-49.38,-4.94,-3.46,13.7,3.0,1425.73
0.73,41,1044.39,44.39,4.44,3.59,4.96,3.0,1237.81
0.74,35,1043.97,43.97,4.4,4.2,6.39,3.0,1047.45
0.75,32,1093.96,93.96,9.4,9.51,5.07,3.0,988.43
