target_mode,cfg,params,test_acc,test_logloss,valid_acc,valid_logloss,best_n_seasons,n_features,features_json
FTR,base,{},0.5203389830508475,0.9773696352559548,0.5657894736842105,0.9544733152275874,12,1,"[""xg_elo_diff""]"
FTR,lr015,"{'learning_rate': 0.015, 'n_estimators': 2600}",0.5203389830508475,0.9762045685116542,0.5605263157894737,0.9542135176263977,12,1,"[""xg_elo_diff""]"
FTR,lr02,"{'learning_rate': 0.02, 'n_estimators': 2200}",0.5220338983050847,0.9787027857165981,0.5605263157894737,0.9551074012747504,12,1,"[""xg_elo_diff""]"
FTR,lr03,"{'learning_rate': 0.03, 'n_estimators': 1800}",0.5203389830508475,0.9773696352559548,0.5657894736842105,0.9544733152275874,12,1,"[""xg_elo_diff""]"
FTR,lr04,"{'learning_rate': 0.04, 'n_estimators': 1400}",0.523728813559322,0.9782874408256806,0.5631578947368421,0.9574800956630526,12,1,"[""xg_elo_diff""]"
FTR,leaves15,{'num_leaves': 15},0.5338983050847458,0.9736223798834991,0.5657894736842105,0.9535628200572371,12,1,"[""xg_elo_diff""]"
FTR,leaves23,{'num_leaves': 23},0.5271186440677966,0.9750224395377876,0.5631578947368421,0.9561191968825554,12,1,"[""xg_elo_diff""]"
FTR,leaves31,{'num_leaves': 31},0.5254237288135594,0.977364993511394,0.5605263157894737,0.9533195612255992,12,1,"[""xg_elo_diff""]"
FTR,child120,{'min_child_samples': 120},0.5271186440677966,0.9735566594477582,0.5605263157894737,0.9529564614383914,12,1,"[""xg_elo_diff""]"
FTR,l2_2,{'lambda_l2': 2.0},0.5338983050847458,0.9795161487507191,0.5578947368421052,0.9556471490731134,12,1,"[""xg_elo_diff""]"
FTR,combo_light,"{'num_leaves': 23, 'learning_rate': 0.02, 'n_estimators': 2200, 'min_child_samples': 100}",0.5254237288135594,0.975461976170504,0.5657894736842105,0.9533294658690783,12,1,"[""xg_elo_diff""]"
O25,base,{},0.5728813559322034,0.6764011962711899,0.5473684210526316,0.6803864228485264,12,1,"[""xg_elo_diff""]"
O25,lr015,"{'learning_rate': 0.015, 'n_estimators': 2600}",0.6033898305084746,0.6751198854278461,0.5421052631578948,0.6804839230598342,12,1,"[""xg_elo_diff""]"
O25,lr02,"{'learning_rate': 0.02, 'n_estimators': 2200}",0.5830508474576271,0.676693059728708,0.5657894736842105,0.6793987525541172,12,1,"[""xg_elo_diff""]"
O25,lr03,"{'learning_rate': 0.03, 'n_estimators': 1800}",0.5728813559322034,0.6764011962711899,0.5473684210526316,0.6803864228485264,12,1,"[""xg_elo_diff""]"
O25,lr04,"{'learning_rate': 0.04, 'n_estimators': 1400}",0.5745762711864407,0.6783215077392115,0.5473684210526316,0.6747900259040703,12,1,"[""xg_elo_diff""]"
O25,leaves15,{'num_leaves': 15},0.588135593220339,0.674916451473372,0.531578947368421,0.680624816769319,12,1,"[""xg_elo_diff""]"
O25,leaves23,{'num_leaves': 23},0.576271186440678,0.6760852373691725,0.5368421052631579,0.6778169653930284,12,1,"[""xg_elo_diff""]"
O25,leaves31,{'num_leaves': 31},0.5898305084745763,0.6759165515446867,0.5394736842105263,0.6784906333179576,12,1,"[""xg_elo_diff""]"
O25,child120,{'min_child_samples': 120},0.5728813559322034,0.6762041574003163,0.5526315789473685,0.6813856261450711,12,1,"[""xg_elo_diff""]"
O25,l2_2,{'lambda_l2': 2.0},0.5847457627118644,0.6752525068356996,0.5605263157894737,0.6804641039369005,12,1,"[""xg_elo_diff""]"
O25,combo_light,"{'num_leaves': 23, 'learning_rate': 0.02, 'n_estimators': 2200, 'min_child_samples': 100}",0.5796610169491525,0.6757001018224013,0.55,0.6823703983760911,12,1,"[""xg_elo_diff""]"
BTTS,base,{},0.4847457627118644,0.6925556892225725,0.5263157894736842,0.6916901348134963,12,1,"[""xg_elo_diff""]"
BTTS,lr015,"{'learning_rate': 0.015, 'n_estimators': 2600}",0.4847457627118644,0.6925305807198313,0.5263157894736842,0.6917272587433956,12,1,"[""xg_elo_diff""]"
BTTS,lr02,"{'learning_rate': 0.02, 'n_estimators': 2200}",0.48983050847457626,0.6925405413734903,0.5184210526315789,0.6917208018722909,12,1,"[""xg_elo_diff""]"
BTTS,lr03,"{'learning_rate': 0.03, 'n_estimators': 1800}",0.4847457627118644,0.6925556892225725,0.5263157894736842,0.6916901348134963,12,1,"[""xg_elo_diff""]"
BTTS,lr04,"{'learning_rate': 0.04, 'n_estimators': 1400}",0.4847457627118644,0.692551153523327,0.5263157894736842,0.6916703065301368,12,1,"[""xg_elo_diff""]"
BTTS,leaves15,{'num_leaves': 15},0.5288135593220339,0.6922228425194248,0.5078947368421053,0.6924807732685779,12,1,"[""xg_elo_diff""]"
BTTS,leaves23,{'num_leaves': 23},0.5101694915254237,0.6926278655036209,0.5210526315789473,0.6921494940195113,12,1,"[""xg_elo_diff""]"
BTTS,leaves31,{'num_leaves': 31},0.4847457627118644,0.6927056352458043,0.5263157894736842,0.6917331393637871,12,1,"[""xg_elo_diff""]"
BTTS,child120,{'min_child_samples': 120},0.5101694915254237,0.6922991433460858,0.5078947368421053,0.6911629270980412,12,1,"[""xg_elo_diff""]"
BTTS,l2_2,{'lambda_l2': 2.0},0.48983050847457626,0.6925476187084214,0.5184210526315789,0.691693060949439,12,1,"[""xg_elo_diff""]"
BTTS,combo_light,"{'num_leaves': 23, 'learning_rate': 0.02, 'n_estimators': 2200, 'min_child_samples': 100}",0.511864406779661,0.692433394498106,0.5157894736842106,0.6905832812515985,12,1,"[""xg_elo_diff""]"
